Rank,Name,Year,Rating (%),Adjusted Score (%),Critics Consensus,Synopsis,Cast,Director
1,His House,2020,100,106733,"Featuring genuine scares through every corridor,His Houseis a terrifying look at the specters of the refugee experience and a stunning feature debut for Remi Weekes.","A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new...[More]","Wunmi Mosaku, Sope Dirisu, Matt Smith, Cornell John",Remi Weekes
2,Grave of the Fireflies,1988,100,103625,"An achingly sad anti-war film, Grave of the Fireflies is one of Studio Ghibli's most profoundly beautiful, haunting works.",A teenager (J. Robert Spencer) is charged with the care of his younger sister (Rhoda Chrosite) after an Allied firebombing...[More],"J. Robert Spencer, Rhoda Chrosite, Amy Jones, Kathleen McInerney",Isao Takahata
3,Selma,2014,99,114161,"Fueled by a gripping performance from David Oyelowo,Selmadraws inspiration and dramatic power from the life and death of Martin Luther King, Jr. -- but doesn't ignore how far we remain from the ideals his work embodied.","Although the Civil Rights Act of 1964 legally desegregated the South, discrimination was still rampant in certain areas, making it...[More]","David Oyelowo, Tom Wilkinson, Carmen Ejogo, Giovanni Ribisi",Ava DuVernay
4,Godzilla Minus One,2023,99,110391,"With engaging human stories anchoring the action,Godzilla Minus Oneis one kaiju movie that remains truly compelling between the scenes of mass destruction.",Japan is already devastated by the war when a new crisis emerges in the form of a giant monster....[More],"Ryûnosuke Kamiki, Minami Hamabe, Munetaka Aoki, Hidetaka Yoshioka",Takashi Yamazaki
5,Miss Juneteenth,2020,99,107339,"Like a pageant winner walking across the stage,Miss Juneteenthfollows a familiar path -- but does so with charm and grace.","A former beauty queen and single mom prepares her rebellious teenage daughter for the ""Miss Juneteenth"" pageant....[More]","Nicole Beharie, Kendrick Sampson, Alexis Chikaeze, Lori Hayes",Channing Godfrey Peoples
6,The Forty-Year-Old Version,2020,99,106473,The Forty-Year-Old Versionopens a compelling window into the ebbs and flows of the artist's life -- and announces writer-director-star Radha Blank as a major filmmaking talent with her feature debut.,"Radha, a down-on-her-luck NY playwright, is desperate for a breakthrough before 40. But when she foils what seems like her...[More]","Welker White, Reed Birney, Radha Blank, Peter Kim",Radha Blank
7,Under the Shadow,2016,99,102724,Under the Shadowdeftly blends seemingly disparate genres to deliver an effective chiller with timely themes and thought-provoking social subtext.,"After Shideh's building is hit by a missile during the Iran-Iraq War, a superstitious neighbor suggests that the missile was...[More]","Narges Rashidi, Avin Manshadi, Bobby Naderi, Ray Haratian",Babak Anvari
8,Ma Rainey's Black Bottom,2020,98,116796,"Framed by a pair of powerhouse performances,Ma Rainey's Black Bottompays affectionate tribute to a blues legend -- and Black culture at large.","Tensions and temperatures rise at a Chicago music studio in 1927 when fiery, fearless blues singer Ma Rainey joins her...[More]","Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo",George C. Wolfe
9,Dolemite Is My Name,2019,97,109155,"In dramatizing Rudy Ray Moore's stranger-than-fiction story, Eddie Murphy makesDolemite Is My Namejust as bold, brash, and ultimately hard to resist as its subject.","Performer Rudy Ray Moore develops an outrageous character named Dolemite, who becomes an underground sensation and star of a kung-fu,...[More]","Eddie Murphy, Wesley Snipes, Kodi Smit-McPhee, Keegan-Michael Key",Craig Brewer
10,Mudbound,2017,97,107905,"Mudboundoffers a well-acted, finely detailed snapshot of American history whose scenes of rural class struggle resonate far beyond their period setting.","Set in the rural American South during World War II, Dee Rees' Mudbound is an epic story of two families...[More]","Carey Mulligan, Jason Clarke, Jason Mitchell, Mary J. Blige",Dee Rees
11,Jaws,1975,97,114432,"Compelling, well-crafted storytelling and a judicious sense of terror ensure Steven Spielberg'sJawshas remained a benchmark in the art of delivering modern blockbuster thrills.","When a young woman is killed by a shark while skinny-dipping near the New England tourist town of Amity Island,...[More]","Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary",Steven Spielberg
